"","Run","ReleaseDate","LoadDate","spots","bases","spots_with_mates","avgLength","size_MB","AssemblyName","download_path","Experiment","LibraryStrategy","LibrarySelection","LibrarySource","LibraryLayout","InsertSize","InsertDev","Platform","Model","SRAStudy","BioProject","Study_Pubmed_id","ProjectID","Sample","BioSample","SampleType","TaxID","ScientificName","SampleName","Tumor","CenterName","Submission","Consent","RunHash","ReadHash"
"11","SRR4785980","2017-06-20 16:29:19","2016-11-01 18:18:10","88418033","17672782449","88418033","199","4946","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4785980/SRR4785980.1","SRX2316211","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773133","SAMN05963992","simple","9606","Homo sapiens","GSM2371138","no","GEO","SRA488109","public","02A17A76446C59D5D0373136650A4C09","0A6001547327772D430C402EC49F0FE0"
"12","SRR4785981","2017-06-20 16:29:19","2016-11-01 18:14:39","77194061","15400386603","77194061","199","4469","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR4785981/SRR4785981.1","SRX2316212","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773135","SAMN05963991","simple","9606","Homo sapiens","GSM2371139","no","GEO","SRA488109","public","1FD715EE80EDB38BC244FB10B99D8AD2","6B73DA04069EC371BA2F06DCC96D9F1B"
"13","SRR4785982","2017-06-20 16:29:19","2016-11-02 03:17:26","82103925","16403877902","82103925","199","4584","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR4785982/SRR4785982.1","SRX2316213","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773134","SAMN05963990","simple","9606","Homo sapiens","GSM2371140","no","GEO","SRA488109","public","1E677D76A786380402EF49D2B79FEA2B","B71D4BAAF37BA780118D992691481112"
"14","SRR4785983","2017-06-20 16:29:19","2016-11-01 18:10:19","85128971","17017983031","85128971","199","4796","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4785983/SRR4785983.1","SRX2316214","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773136","SAMN05963989","simple","9606","Homo sapiens","GSM2371141","no","GEO","SRA488109","public","DE212892BC85D0C310DA65BF9C6C00B8","A230A5D954253C934A4A46BE255272FD"
"15","SRR4785984","2017-06-20 16:29:19","2016-11-01 18:11:50","83086747","16598650919","83086747","199","4774","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR4785984/SRR4785984.1","SRX2316215","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773137","SAMN05963988","simple","9606","Homo sapiens","GSM2371142","no","GEO","SRA488109","public","0661496F1621CF740C74B1076F04C329","D2D5A25182360BB8476EC6EC7E7396DB"
"16","SRR4785985","2017-06-20 16:29:19","2016-11-01 18:18:54","81778080","16323665652","81778080","199","5014","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR4785985/SRR4785985.1","SRX2316216","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773138","SAMN05963987","simple","9606","Homo sapiens","GSM2371143","no","GEO","SRA488109","public","99B3818292D5E23F9EAC638FFAA74B26","46532EF095657EDF455A421EE1BC355C"
"17","SRR4785986","2017-06-20 16:29:19","2016-11-01 18:31:37","81822276","16161520586","81822276","197","5572","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4785986/SRR4785986.1","SRX2316217","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773140","SAMN05963986","simple","9606","Homo sapiens","GSM2371144","no","GEO","SRA488109","public","29F8291B7FC2B2AEB464BE48BADC0BEE","DD4AEF1165867ECC3CEA9879F19CF0A5"
"18","SRR4785987","2017-06-20 16:29:19","2016-11-01 18:06:35","79690463","15752308290","79690463","197","5357","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR4785987/SRR4785987.1","SRX2316218","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773139","SAMN05963985","simple","9606","Homo sapiens","GSM2371145","no","GEO","SRA488109","public","8D0688D09AFFE436F4D7A841DEB4E3FC","FF6D684933CA712A6112DE05C96CA384"
"19","SRR4785988","2017-06-20 16:29:19","2016-11-01 18:06:44","77337812","15297130031","77337812","197","5105","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4785988/SRR4785988.1","SRX2316219","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773143","SAMN05963984","simple","9606","Homo sapiens","GSM2371146","no","GEO","SRA488109","public","441ACA8865E398FB5AFDC7431C099A6E","DFBFB36ADDF934A63FA077B7BE20FF8A"
"20","SRR4785989","2017-06-20 16:29:19","2016-11-01 18:13:51","79146893","15642698016","79146893","197","5355","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR4785989/SRR4785989.1","SRX2316220","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773141","SAMN05963983","simple","9606","Homo sapiens","GSM2371147","no","GEO","SRA488109","public","ADB823E9775A8C1271A5E889C76253A7","FE78C80A83560FAD088337BCC1319280"
"21","SRR4785990","2017-06-20 16:29:19","2016-11-01 18:19:15","81875459","16131983053","81875459","197","5659","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4785990/SRR4785990.1","SRX2316221","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773142","SAMN05964083","simple","9606","Homo sapiens","GSM2371148","no","GEO","SRA488109","public","A3DF7973398A68443FF762B3B936A8FB","361E1D582DB53E55FCE4738020323260"
"22","SRR4785991","2017-06-20 16:29:19","2016-11-01 18:14:40","83600918","16534275815","83600918","197","5465","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4785991/SRR4785991.1","SRX2316222","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773145","SAMN05964082","simple","9606","Homo sapiens","GSM2371149","no","GEO","SRA488109","public","9B6AC03805336C496A95BE534249FE27","5767AC7DFA46EE098BEB498FEB1907A1"
"23","SRR4785992","2017-06-20 16:29:19","2016-11-01 18:24:49","83432357","16485815961","83432357","197","5531","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR4785992/SRR4785992.1","SRX2316223","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773144","SAMN05964081","simple","9606","Homo sapiens","GSM2371150","no","GEO","SRA488109","public","0769CF5DB2837D6AD20605D6ECDABED5","259F2BAD9C2BE19C838DF4CDCA6B7788"
"24","SRR4785993","2017-06-20 16:29:19","2016-11-01 18:08:47","81448886","16090782157","81448886","197","5499","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR4785993/SRR4785993.1","SRX2316224","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773147","SAMN05964080","simple","9606","Homo sapiens","GSM2371151","no","GEO","SRA488109","public","6EBBC7F06DE72B380CF88D9A09232300","CE3FEE63278E76940A54C93C7508C126"
"25","SRR4785994","2017-06-20 16:29:19","2016-11-01 18:19:45","76411754","15084190743","76411754","197","5404","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4785994/SRR4785994.1","SRX2316225","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773146","SAMN05964079","simple","9606","Homo sapiens","GSM2371152","no","GEO","SRA488109","public","4335768725752695ECF9282EED595DC6","A32C4C90CC1950AA55589D65EA4473A6"
"26","SRR4785995","2017-06-20 16:29:19","2016-11-01 18:42:17","84241010","16620731342","84241010","197","5828","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4785995/SRR4785995.1","SRX2316226","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773148","SAMN05964078","simple","9606","Homo sapiens","GSM2371153","no","GEO","SRA488109","public","D0A1BD21C9252AD32C968E9C271C5A10","202DD30249D87D5AE590B031777490C0"
"27","SRR4785996","2017-06-20 16:29:19","2016-11-01 18:18:51","83926044","16547011323","83926044","197","5796","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4785996/SRR4785996.1","SRX2316227","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773149","SAMN05964075","simple","9606","Homo sapiens","GSM2371154","no","GEO","SRA488109","public","2E0568E04CF4853C10DB5A4F46305D03","D68B80DD0E222EF9AAB9CA6F13E917D3"
"28","SRR4785997","2017-06-20 16:29:19","2017-02-11 01:43:36","86892425","17216775139","86892425","198","5717","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4785997/SRR4785997.1","SRX2316228","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773150","SAMN05964074","simple","9606","Homo sapiens","GSM2371155","no","GEO","SRA488109","public","A2C83DD9AC7AD03EA269951825586FF3","688159DE486819C869E53E73ED09BD58"
"29","SRR4785998","2017-06-20 16:29:19","2016-11-01 18:21:39","85411365","16892102979","85411365","197","5687","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4785998/SRR4785998.1","SRX2316229","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773151","SAMN05964073","simple","9606","Homo sapiens","GSM2371156","no","GEO","SRA488109","public","FF8BF9E4A04818549ED9BE2419305537","B7C73461E3171EFD49ACFCB880E5ADB5"
"30","SRR4785999","2017-06-20 16:29:19","2016-11-01 18:07:30","85116235","16861542471","85116235","198","5416","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR4785999/SRR4785999.1","SRX2316230","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773153","SAMN05964072","simple","9606","Homo sapiens","GSM2371157","no","GEO","SRA488109","public","F758D8445C811CA22BB82619047616C7","AF560F15BE058D5AB8EE5AAE597B6D1A"
"31","SRR4786000","2017-06-20 16:29:19","2016-11-01 18:17:32","79901819","15779575170","79901819","197","5403","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR4786000/SRR4786000.1","SRX2316231","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773152","SAMN05964071","simple","9606","Homo sapiens","GSM2371158","no","GEO","SRA488109","public","8422B6DABF5EC89D4D09BCE56691C839","7F6919E5F10688E4B53089F116A2DF0E"
"32","SRR4786001","2017-06-20 16:29:19","2016-11-01 18:38:41","85759866","16943952152","85759866","197","5778","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR4786001/SRR4786001.1","SRX2316232","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773155","SAMN05964077","simple","9606","Homo sapiens","GSM2371159","no","GEO","SRA488109","public","FB9835EC709499B283DCD59A5BBA9D74","DA964FD5F9A7357AA28083EB811A1C2A"
"33","SRR4786002","2017-06-20 16:29:19","2016-11-01 19:11:01","86476968","17092279986","86476968","197","5797","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4786002/SRR4786002.1","SRX2316233","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773154","SAMN05964076","simple","9606","Homo sapiens","GSM2371160","no","GEO","SRA488109","public","90814DEF5D0D72F88B28A4429BF783D7","66A5519EA88CB4D0027891015C5E5B5E"
"34","SRR4786003","2017-06-20 16:29:19","2016-11-01 18:26:12","88785622","17593121881","88785622","198","5793","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4786003/SRR4786003.1","SRX2316234","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773156","SAMN05964070","simple","9606","Homo sapiens","GSM2371161","no","GEO","SRA488109","public","A3DBBC2BD4B338021258CDD7FD8A781B","3715A7C6159E6BBC68A4FF1F16BF6D9D"
"35","SRR4786004","2017-06-20 16:29:19","2016-11-01 18:21:56","89174760","17609241387","89174760","197","5738","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4786004/SRR4786004.1","SRX2316235","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773157","SAMN05964069","simple","9606","Homo sapiens","GSM2371162","no","GEO","SRA488109","public","6340B803FCCE9A03BE2E188C897DAFC1","9236814BED547670AE3870D36A6BFE65"
"36","SRR4786005","2017-06-20 16:29:19","2016-11-01 18:27:35","80900681","15922872565","80900681","196","5823","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR4786005/SRR4786005.1","SRX2316236","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773158","SAMN05964068","simple","9606","Homo sapiens","GSM2371163","no","GEO","SRA488109","public","679EA7BB71DECB5A8C106428F60A34DB","F5097324660DC9BC1DF871C809FDF2F0"
"37","SRR4786006","2017-06-20 16:29:19","2017-02-11 01:42:19","87470959","17263611325","87470959","197","5776","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4786006/SRR4786006.1","SRX2316237","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773159","SAMN05964067","simple","9606","Homo sapiens","GSM2371164","no","GEO","SRA488109","public","BCBE35E3DFB1015F869F294571D6D5E3","F2DB9A53907A70D20B4B60F560323C56"
"38","SRR4786007","2017-06-20 16:29:19","2016-11-01 18:25:05","92115410","18224006136","92115410","197","7088","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4786007/SRR4786007.1","SRX2316238","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773160","SAMN05964066","simple","9606","Homo sapiens","GSM2371165","no","GEO","SRA488109","public","819E163E4CD56F7BBFB3E9451AE89C7E","5B683853BE42D205FECEED67E57C0B8B"
"39","SRR4786008","2017-06-20 16:29:19","2016-11-01 18:23:17","86234263","17025815626","86234263","197","5730","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR4786008/SRR4786008.1","SRX2316239","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773161","SAMN05964065","simple","9606","Homo sapiens","GSM2371166","no","GEO","SRA488109","public","73F5A97C1C88BC6FB9764C60879D68B4","052160F3265B775E643A0659D03D7B3F"
"40","SRR4786009","2017-06-20 16:29:19","2016-11-01 18:28:06","87637892","17316647850","87637892","197","5689","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR4786009/SRR4786009.1","SRX2316240","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773162","SAMN05964064","simple","9606","Homo sapiens","GSM2371167","no","GEO","SRA488109","public","042A8E59FCC1C92CB81A1AFEF6BA6B69","2B79CDB804E1998926C4D05655B6623E"
"41","SRR4786010","2017-06-20 16:29:19","2016-11-01 18:32:38","88924002","17624257457","88924002","198","5614","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4786010/SRR4786010.1","SRX2316241","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773163","SAMN05964063","simple","9606","Homo sapiens","GSM2371168","no","GEO","SRA488109","public","5627DF9253CF4A2B36E0986A16C570EC","97D70948444E4A4060503048107C4756"
"42","SRR4786011","2017-06-20 16:29:19","2016-11-01 19:00:09","91436784","18051328795","91436784","197","5945","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4786011/SRR4786011.1","SRX2316242","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773164","SAMN05964062","simple","9606","Homo sapiens","GSM2371169","no","GEO","SRA488109","public","773485739F41470E150EAC37816FF919","80D888F0811FD4E235EC16666EC2C742"
"43","SRR4786012","2017-06-20 16:29:20","2017-02-11 01:45:30","87429353","17284207795","87429353","197","5649","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4786012/SRR4786012.1","SRX2316243","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773165","SAMN05964061","simple","9606","Homo sapiens","GSM2371170","no","GEO","SRA488109","public","3A68A399DD3AA9CAEF20EB8B197E4037","99EE3B15696A0781FF559E584AC0174D"
"44","SRR4786013","2017-06-20 16:29:20","2016-11-01 18:26:33","85784450","16953789586","85784450","197","5611","GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4786013/SRR4786013.1","SRX2316244","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED","0","0","ILLUMINA","Illumina HiSeq 2000","SRP092408","PRJNA352076","2","352076","SRS1773166","SAMN05964060","simple","9606","Homo sapiens","GSM2371171","no","GEO","SRA488109","public","5CD69F7B762D46F37DAC62E7B27611EB","FC7329989CA463C77D05E7747BC6562C"
